Category Code,Product Code,Name,Description,Scan Identifier,Requires Customization,Length (mm),Width (mm),Height (mm),Weight (gms),EAN,UPC,ISBN,Color,Size,Brand,Item Detail Fields,Tags,Image Url,Product Page Url,Tax Type Code,Base Price,Cost Price,MRP,Updated,Category Name,Enabled,Type,TAT,Component Product Code,Component Quantity,Component Price,Virtual Inventory
VK_AU,VKAMGRILL100,Autofy Skull Black Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,B01M4LSA89,B01M4LSA89,FALSE,1,1,1,1,1,SDL659241681,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL100/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL100/,,,,1099,05/01/2017 19:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL101,Autofy Lion Black Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,1 Headlight Grill,B01MCW9RUI,FALSE,200,200,140,500,1,,Autofy,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL101/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL101/,DEFAULT,,,1099,28/03/2017 0:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL102,Autofy Skull Black Metal HeadLight & Tail Light Grill for Royal Enfield Bullet Standard (Set of 2),B01M2ZVSZJ,B01M2ZVSZJ,FALSE,1,1,1,1,Set of 2,,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL102/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL102/,,,,1599,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL103,Autofy Lion Black Metal Headlight & Tail Light Grill for Royal Enfield Bullet Standard (Set of 2),1 Headlight Grill & 1 Tail Light Grill,B01M276POD,FALSE,200,200,140,900,Set of 2,,Autofy,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL103/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL103/,DEFAULT,,,1599,28/03/2017 0:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL104,Autofy Skull Black Metal Headlight & Tail Light Grill for Royal Enfield Bullet Classic (Set of 2),B01M4LSLYK,B01M4LSLYK,FALSE,1,1,1,1,Set of 2,SDL102051834,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL104/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL104/,,,,1499,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL105,Autofy Lion Black Metal Headlight & Tail Light Grill for Royal Enfield Bullet Classic (Set of 2),1 Headlight Grill & 1 Tail Light Grill,B01M3SK1AO,FALSE,200,200,140,900,Set of 2,,Autofy,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL105/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL105/,DEFAULT,,,1499,28/03/2017 0:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL106,Autofy Skull Black Metal Headlight & Tail Light Grill for Royal Enfield Bullet Electra (Set of 2),B01M3SK91W,B01M3SK91W,FALSE,1,1,1,1,Set of 2,,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL106/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL106/,,,,1599,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL107,Autofy Lion Black Metal Headlight & Tail Light Grill for Royal Enfield Bullet Electra (Set of 2),1 Headlight Grill & 1 Tail Light Grill,B01M7SB5H6,FALSE,200,200,140,900,Set of 2,,Autofy,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL107/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL107/,DEFAULT,,,1599,28/03/2017 0:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL108,Autofy Black Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,B01MDOZ9BG,B01MDOZ9BG,FALSE,1,1,1,1,1,SDL688641438,Autofy - India,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL108/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL108/,,,,999,12/01/2017 12:47,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL109,Autofy Black & Chrome Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,B01MF9Z2XS,B01MF9Z2XS,FALSE,1,1,1,1,1,SDL772275307,Autofy - India,BLACK & CHROME,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL109/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL109/,,,,999,12/01/2017 22:12,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL110,Autofy Rust Brown & Chrome Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,,B01MCW9R0H,FALSE,1,1,1,1,1,SDL507508053,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL110/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL110/,,,,1299,01/02/2017 14:55,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMGRILL111,Autofy Full Chrome Metal Headlight Grill for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,,B01M3SK461,FALSE,1,1,1,1,1,SDL624054421,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL111/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMGRILL111/,,,,899,01/02/2017 15:04,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
